學號,姓名,性別,入學年,年級,學期,班級,座號,電話,Email,狀態,狀態備註,法律狀態,家長姓名,家長電話
112101,學生A,男,112,10,1,101,1,0912000001,s112101@school.edu.tw,Active,,,家長A,0988000001
112102,學生B,女,112,10,1,102,1,0912000002,s112102@school.edu.tw,Active,,,家長B,0988000002
112103,學生C,男,112,10,1,103,1,0912000003,s112103@school.edu.tw,Active,,,家長C,0988000003
112104,學生D,女,112,10,1,104,1,0912000004,s112104@school.edu.tw,Active,,,家長D,0988000004
112105,學生E,男,112,10,1,105,1,0912000005,s112105@school.edu.tw,Active,,,家長E,0988000005
112106,學生F,女,112,10,1,106,1,0912000006,s112106@school.edu.tw,Active,,,家長F,0988000006
112201,學生G,男,112,11,1,201,1,0912000007,s112201@school.edu.tw,Active,,,家長G,0988000007
112202,學生H,女,112,11,1,202,1,0912000008,s112202@school.edu.tw,Active,,,家長H,0988000008
112203,學生I,男,112,11,1,203,1,0912000009,s112203@school.edu.tw,Active,,,家長I,0988000009
112204,學生J,女,112,11,1,204,1,0912000010,s112204@school.edu.tw,Active,,,家長J,0988000010
112205,學生K,男,112,11,1,205,1,0912000011,s112205@school.edu.tw,Active,,,家長K,0988000011
112206,學生L,女,112,11,1,206,1,0912000012,s112206@school.edu.tw,Active,,,家長L,0988000012
112207,學生M,男,112,11,1,207,1,0912000013,s112207@school.edu.tw,Active,,,家長M,0988000013
112208,學生N,女,112,11,1,208,1,0912000014,s112208@school.edu.tw,Active,,,家長N,0988000014
112209,學生O,男,112,11,1,209,1,0912000015,s112209@school.edu.tw,Active,,,家長O,0988000015
112210,學生P,女,112,11,1,210,1,0912000016,s112210@school.edu.tw,Active,,,家長P,0988000016
