學號,姓名,性別,入學年,年級,學期,班級,座號,電話,Email,狀態,狀態備註,法律狀態,家長姓名,家長電話
107001,陳小明,男,115,7,2,701,1,0912345671,s107001@school.edu.tw,Active,,,陳爸爸,0987654321
107002,林志強,男,115,7,2,701,2,0912345672,s107002@school.edu.tw,Active,,,林爸爸,0987654322
107003,王大為,男,115,7,2,701,3,0912345673,s107003@school.edu.tw,Active,,,王爸爸,0987654323
107004,李美玲,女,115,7,2,701,4,0912345674,s107004@school.edu.tw,Active,,,李媽媽,0987654324
107005,張雅婷,女,115,7,2,701,5,0912345675,s107005@school.edu.tw,Active,,,張媽媽,0987654325
107006,何欣妤,女,115,7,2,701,6,0912345676,s107006@school.edu.tw,Active,,,何媽媽,0987654326
107007,趙子龍,男,115,7,2,702,1,0912345677,s107007@school.edu.tw,Active,,,趙爸爸,0987654327
107008,黃忠,男,115,7,2,702,2,0912345678,s107008@school.edu.tw,Active,,,黃爸爸,0987654328
107009,馬超,男,115,7,2,702,3,0912345679,s107009@school.edu.tw,Active,,,馬爸爸,0987654329
107010,關羽,女,115,7,2,702,4,0912345680,s107010@school.edu.tw,Active,,,關媽媽,0987654330
107011,張飛,女,115,7,2,702,5,0912345681,s107011@school.edu.tw,Active,,,張媽媽,0987654331
107012,黃月英,女,115,7,2,702,6,0912345682,s107012@school.edu.tw,Active,,,黃媽媽,0987654332
107013,曹操,男,115,7,2,703,1,0912345683,s107013@school.edu.tw,Active,,,曹爸爸,0987654333
107014,劉備,男,115,7,2,703,2,0912345684,s107014@school.edu.tw,Active,,,劉爸爸,0987654334
107015,孫權,男,115,7,2,703,3,0912345685,s107015@school.edu.tw,Active,,,孫爸爸,0987654335
107016,大喬,女,115,7,2,703,4,0912345686,s107016@school.edu.tw,Active,,,喬爸爸,0987654336
107017,小喬,女,115,7,2,703,5,0912345687,s107016@school.edu.tw,Active,,,喬爸爸,0987654337
107018,甄姬,女,115,7,2,703,6,0912345688,s107018@school.edu.tw,Active,,,甄媽媽,0987654338
108001,陳大華,男,114,8,2,801,1,0912345771,s108001@school.edu.tw,Active,,,陳爸爸,0987654421
108002,林志明,男,114,8,2,801,2,0912345772,s108002@school.edu.tw,Active,,,林爸爸,0987654422
108003,王小寶,男,114,8,2,801,3,0912345773,s108003@school.edu.tw,Active,,,王爸爸,0987654423
108004,李雅芬,女,114,8,2,801,4,0912345774,s108004@school.edu.tw,Active,,,李媽媽,0987654424
108005,張美美,女,114,8,2,801,5,0912345775,s108005@school.edu.tw,Active,,,張媽媽,0987654425
108006,何欣宜,女,114,8,2,801,6,0912345776,s108006@school.edu.tw,Active,,,何媽媽,0987654426
108007,周杰,男,114,8,2,802,1,0912345777,s108007@school.edu.tw,Active,,,周爸爸,0987654427
108008,蔡昆,男,114,8,2,802,2,0912345778,s108008@school.edu.tw,Active,,,蔡爸爸,0987654428
108009,羅祥,男,114,8,2,802,3,0912345779,s108009@school.edu.tw,Active,,,羅爸爸,0987654429
108010,楊丞,女,114,8,2,802,4,0912345780,s108010@school.edu.tw,Active,,,楊媽媽,0987654430
108011,徐若,女,114,8,2,802,5,0912345781,s108011@school.edu.tw,Active,,,徐媽媽,0987654431
108012,林志,女,114,8,2,802,6,0912345782,s108012@school.edu.tw,Active,,,林媽媽,0987654432
108013,許志,男,114,8,2,803,1,0912345783,s108013@school.edu.tw,Active,,,許爸爸,0987654433
108014,黎明,男,114,8,2,803,2,0912345784,s108014@school.edu.tw,Active,,,黎爸爸,0987654434
108015,郭城,男,114,8,2,803,3,0912345785,s108015@school.edu.tw,Active,,,郭爸爸,0987654435
108016,張曼,女,114,8,2,803,4,0912345786,s108016@school.edu.tw,Active,,,張爸爸,0987654436
108017,鍾楚,女,114,8,2,803,5,0912345787,s108017@school.edu.tw,Active,,,鍾爸爸,0987654437
108018,邱淑,女,114,8,2,803,6,0912345788,s108018@school.edu.tw,Active,,,邱媽媽,0987654438
109001,高登,男,113,9,2,901,1,0912345871,s109001@school.edu.tw,Active,,,高爸爸,0987654521
109002,保羅,男,113,9,2,901,2,0912345872,s109002@school.edu.tw,Active,,,保羅父,0987654522
109003,喬治,男,113,9,2,901,3,0912345873,s109003@school.edu.tw,Active,,,喬治父,0987654523
109004,莎拉,女,113,9,2,901,4,0912345874,s109004@school.edu.tw,Active,,,莎拉母,0987654524
109005,艾瑪,女,113,9,2,901,5,0912345875,s109005@school.edu.tw,Active,,,艾瑪母,0987654525
109006,露西,女,113,9,2,901,6,0912345876,s109006@school.edu.tw,Active,,,露西母,0987654526
109007,路克,男,113,9,2,902,1,0912345877,s109007@school.edu.tw,Active,,,路克父,0987654527
109008,漢斯,男,113,9,2,902,2,0912345878,s109008@school.edu.tw,Active,,,漢斯父,0987654528
109009,傑克,男,113,9,2,902,3,0912345879,s109009@school.edu.tw,Active,,,傑克父,0987654529
109010,蘇菲,女,113,9,2,902,4,0912345880,s109010@school.edu.tw,Active,,,蘇菲母,0987654530
109011,安娜,女,113,9,2,902,5,0912345881,s109011@school.edu.tw,Active,,,安娜母,0987654531
109012,艾力,女,113,9,2,902,6,0912345882,s109012@school.edu.tw,Active,,,艾力母,0987654532
110001,大衛,男,112,10,2,1001,1,0912345971,s110001@school.edu.tw,Active,,,大衛父,0987654621
110002,詹姆,男,112,10,2,1001,2,0912345972,s110002@school.edu.tw,Active,,,詹姆父,0987654622
110003,約翰,男,112,10,2,1001,3,0912345973,s110003@school.edu.tw,Active,,,約翰父,0987654623
110004,瑪莉,女,112,10,2,1001,4,0912345974,s110004@school.edu.tw,Active,,,瑪莉母,0987654624
110005,琳達,女,112,10,2,1001,5,0912345975,s110005@school.edu.tw,Active,,,琳達母,0987654625
110006,凱特,女,112,10,2,1001,6,0912345976,s110006@school.edu.tw,Active,,,凱特母,0987654626
110007,彼得,男,112,10,2,1002,1,0912345977,s110007@school.edu.tw,Active,,,彼得父,0987654627
110008,馬克,男,112,10,2,1002,2,0912345978,s110008@school.edu.tw,Active,,,馬克父,0987654628
110009,史蒂,男,112,10,2,1002,3,0912345979,s110009@school.edu.tw,Active,,,史蒂父,0987654629
110010,愛麗,女,112,10,2,1002,4,0912345980,s110010@school.edu.tw,Active,,,愛麗母,0987654630
110011,柔依,女,112,10,2,1002,5,0912345981,s110011@school.edu.tw,Active,,,柔依母,0987654631
110012,克萊,女,112,10,2,1002,6,0912345982,s110012@school.edu.tw,Active,,,克萊母,0987654632
111001,亞瑟,男,111,11,2,1101,1,0912346071,s111001@school.edu.tw,Active,,,亞瑟父,0987654721
111002,梅林,男,111,11,2,1101,2,0912346072,s111002@school.edu.tw,Active,,,梅林父,0987654722
111003,蘭斯,男,111,11,2,1101,3,0912346073,s111003@school.edu.tw,Active,,,蘭斯父,0987654723
111004,格妮,女,111,11,2,1101,4,0912346074,s111004@school.edu.tw,Active,,,格妮母,0987654724
111005,莫根,女,111,11,2,1101,5,0912346075,s111005@school.edu.tw,Active,,,莫根母,0987654725
111006,薇薇,女,111,11,2,1101,6,0912346076,s111006@school.edu.tw,Active,,,薇薇母,0987654726
111007,維克,男,111,11,2,1102,1,0912346077,s111007@school.edu.tw,Active,,,維克父,0987654727
111008,艾德,男,111,11,2,1102,2,0912346078,s111008@school.edu.tw,Active,,,艾德父,0987654728
111009,理查,男,111,11,2,1102,3,0912346079,s111009@school.edu.tw,Active,,,理查父,0987654729
111010,伊麗,女,111,11,2,1102,4,0912346080,s111010@school.edu.tw,Active,,,伊麗母,0987654730
111011,維多,女,111,11,2,1102,5,0912346081,s111011@school.edu.tw,Active,,,維多母,0987654731
111012,愛瑪,女,111,11,2,1102,6,0912346082,s111012@school.edu.tw,Active,,,愛瑪母,0987654732
112001,蘇格,男,110,12,2,1201,1,0912346171,s112001@school.edu.tw,Active,,,蘇格父,0987654821
112002,柏拉,男,110,12,2,1201,2,0912346172,s112002@school.edu.tw,Active,,,柏拉父,0987654822
112003,亞里,男,110,12,2,1201,3,0912346173,s112003@school.edu.tw,Active,,,亞里父,0987654823
112004,希帕,女,110,12,2,1201,4,0912346174,s112004@school.edu.tw,Active,,,希帕母,0987654824
112005,泰伊,女,110,12,2,1201,5,0912346175,s112005@school.edu.tw,Active,,,泰伊母,0987654825
112006,米利,女,110,12,2,1201,6,0912346176,s112006@school.edu.tw,Active,,,米利母,0987654826
